Lucy	Dahmann 
Ella	Dahus 
Amy	Daily
Emely	Dälken
Finja	Dallmann 
Amelie	Dallmeyer 
Luise	Dallmeyer ct. Kölkebeck 
Frieda	Dallmeyer ct. Westendarp 
Katharina	Dalmeyer 
Romy	Dambacher 
Juna	Dammann 
Theresa	Dammer 
Eva	Dammermann 
Julia	Damschröder 
Anna	Dankel 
Carla	Dannemann 
Paulina	Dannöhl 
Elisabeth	Dannöhl 
Rosa	Darmann 
Mia	Dätwyler 
Maya	Dautenhahn 
Selma	David
Edda	Davider 
Flora		Davidsmeyer 
Berenike	Davidter 
Simone	Davis 
Elena	Decke
Meike	Decken 
Susanne	Decker 
Annika	Dedingmeyer 
Augusta	Dedingmeyer
Alba	 Deetz 
Wilma	Degener 
Annegret	Deimling 
Aglaia	Deitemeier
Aaliyah	Deitemeyer 
Annabelle	Deitenbach
Alma	Deiters 
Alicia	Deitingmeyer
Anette	Delkeskamp 
Astrid	Depenbrock 
Anisha	Deppe 
Antke	des Müllers zu Venne 
Abigail	Deter 
Aideen	Detering 
Aini	Deterings sive Gärtner 
Aida	Deters 
Aamenah	Detersmann 
Ariane	Detert 
Adriana	Detert ct. Kuhlenbeck 
Alexandra	Detingmeyer 
Ava	Detmer
Arielle	Dibbern 
Allissa	Dickbreder 
Aamu	Im Dicke 
Arzu	Dickel 
Anouk	Dickenhorst 
Andrea	Dickinson 
Bianca	Dickriede 
Blanka	Dickriede-Meyer 
Benita	Dieckmann 
Bettina	Dieckriede 
Bamika	Diederich 
Bente	Diedrich 
Barbara	Diehl
Berit	Diekbreder 
Bentje	Diekmann
Birte	Dätwyler 
Brigitte	Dautenhahn 
Christiane	David
Charlotte	Davider 
Catherina		Davidsmeyer 
Caroline	Davidter 
Caren	Davis 
Caecilia	Decke
Celine	Diekmann ct. Schmedt 
Coco	Diembecke
Chaya	 Diemke 
Dalia	Diener 
Deenah	Diercker 
Daphne	Dierker 
Delia	Diestelhorst 
Dari	Dietrich 
Doerte	Dietze 
Djamila	Dilger 
Dominique	Dinkelmann 
Doerte	Dipley 
Dorothee	Distelhorst 
Emira	Dittmer 
Emily	Dittmore
Elif	Ellen	
 Enna Doak	
Docen
Ebba	Doepel 
Eleni	Doht 
Freya	Dolet 
Fiona	Dölker 
Franziska	Dölling 
Luzia	Domhof 
Fabienne	Domhoff 
Lukas	Diekmann ct. Schmedt 
Konstantin	Diembecke
Ben	 Diemke 
Jonas	Diener 
Elias	Diercker 
Niklas	Dierker 
David	Diestelhorst 
Oskar	Dietrich 
Philipp	Dietze 
Leon	Dilger 
Noah	Dinkelmann 
Luis	Dipley 
Paul	Distelhorst 
Finn	Dittmer 
Felix	Dittmore
Julian	Docen
Maximilian Doak	
Henry	
Tim		Doepel 
Karl	Doht 
Friedrich Dolet 
Peter	Dölker 
Quirin	Dölling 
Liam	Domhof 
Linus	Domhoff 
Quentin	Domhoff 
Paul	Domhoff-Bosse 
Johannes	Domrich 
Alexander	Dorfmeier 
Anton	Dörmann 
Aras	Dörnen 
Asis	Dornhegge 
Adrian	Dorting 
Arthur	Dörting 
Adam	Dötker 
Arian	Dragon 
Amos	Drees 
Arik	Dreier 
Ake	Drelmann zu Icker 
Altfried	Dreschko 
Ari	Drever 
Andreas	Drewel 
Allessandro	Drews 
Achim	Dreyer 
Ben	Driehaus 
Bela	Drifmeier 
Baldur	Drifmeyer 
Benedikt	Driftmeyer 
Beat	Dröge
Bernd	Dropmann 
Bertram	Dröse
Blue	Droste 
Badi	Dryhus
Batiste	Dübber 
Bastian	Dübber ct. Meyer
Caleb	Dübbert
Caspar	Duberg 
Calvin	Dubois dit Bonclaude 
Cadmus	Düfelsiek 
Christoph	Düffelmeyer 
Cedrik	Düker 
Camern	Düker-Gr. Butenuth 
Carsten	Duling 
Cainan	Duling 
Cem	Dulinge
Carl	Duncalf 
Cyranus	Duncker
Curt	Dunker 
Daniel	Dunkhorst 
Dominik	Dunn 
Darius	Dupernell 
Dario	Dürforth 
